"country","people_fully_vaccinated_per_hundred"
"Albania",0.08
"Algeria",0
"Andorra",2.77
"Anguilla",18.41
"Argentina",1.14
"Australia",0.03
"Austria",3.59
"Azerbaijan",0.64
"Bahrain",16.75
"Bangladesh",1.62
"Barbados",7.67
"Belarus",0.22
"Belgium",3.7
"Bermuda",19.76
"Bolivia",0
"Brazil",2.88
"Bulgaria",1.96
"Cambodia",0.05
"Canada",2.58
"Cayman Islands",19.34
"Chile",16.34
"China",0
"Colombia",0.1
"Costa Rica",1.12
"Croatia",3.06
"Cyprus",5.05
"Czechia",3.49
"Denmark",6.01
"Dominican Republic",0.24
"Ecuador",0.04
"Egypt",0
"El Salvador",0
"England",27.36
"Estonia",5.15
"Faeroe Islands",8.57
"Falkland Islands",43.5
"Finland",5.46
"France",3.92
"Germany",4.34
"Gibraltar",58.94
"Greece",5.01
"Greenland",4.55
"Guernsey",20.8
"Guyana",0.24
"Hungary",5.26
"Iceland",5.09
"India",0.79
"Indonesia",0.5
"Iran",0.01
"Ireland",4.5
"Isle of Man",15.43
"Israel",53.12
"Italy",4.09
"Japan",0.01
"Jersey",22.46
"Kuwait",3.21
"Latvia",1.97
"Lebanon",0
"Liechtenstein",0
"Lithuania",5.26
"Luxembourg",3.92
"Macao",0
"Maldives",0
"Malta",10.65
"Mauritius",0.3
"Mexico",1.11
"Monaco",0
"Morocco",7.89
"Myanmar",0
"Nepal",0
"Netherlands",0
"New Zealand",0
"Northern Cyprus",0
"Northern Ireland",25.25
"Norway",5.51
"Oman",0.95
"Pakistan",0.03
"Panama",0
"Peru",0.67
"Poland",5.18
"Portugal",4.6
"Qatar",3.47
"Romania",4.44
"Russia",1.51
"Saint Helena",0
"Saudi Arabia",0
"Scotland",27.24
"Senegal",0.02
"Serbia",12.59
"Seychelles",47.98
"Singapore",4.27
"Slovakia",5.39
"Slovenia",4.64
"South Africa",0.07
"Spain",4.41
"Sri Lanka",0
"Sweden",4.33
"Switzerland",5.79
"Trinidad and Tobago",0.03
"Turkey",7.53
"Turks and Caicos Islands",16.62
"Ukraine",0
"United Arab Emirates",35.19
"United Kingdom",26.87
"United States",13.53
"Wales",27.86
"Zimbabwe",0.05
